epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,12999.2,1.27098,0.97683,1.39311,0.80352,0.71915,0.79577,0.47733,1.39228,1.03825,1.4633,0.002476,0.002476,0.002476
78,13167.8,1.27088,0.97371,1.39521,0.80291,0.71802,0.79622,0.47723,1.39151,1.03626,1.46255,0.002377,0.002377,0.002377
79,13336.3,1.26542,0.95582,1.38348,0.80434,0.71846,0.79694,0.47759,1.39255,1.03345,1.4636,0.002278,0.002278,0.002278
80,13505.4,1.25779,0.95174,1.38229,0.80101,0.72222,0.79724,0.4772,1.39235,1.03097,1.46344,0.002179,0.002179,0.002179
81,13674.3,1.25521,0.94765,1.37895,0.79945,0.72351,0.79675,0.47705,1.39253,1.02859,1.46363,0.00208,0.00208,0.00208
82,13842.4,1.251,0.93345,1.37564,0.797,0.72452,0.79687,0.4769,1.39299,1.02538,1.4639,0.001981,0.001981,0.001981
83,14011.1,1.2417,0.93051,1.37002,0.79599,0.72448,0.79712,0.47642,1.39359,1.02353,1.46359,0.001882,0.001882,0.001882
84,14179.9,1.23593,0.92345,1.37155,0.79482,0.72549,0.79721,0.47643,1.3944,1.02158,1.46471,0.001783,0.001783,0.001783
85,14348.5,1.23016,0.91346,1.36188,0.79595,0.72653,0.7972,0.47645,1.39483,1.02068,1.46494,0.001684,0.001684,0.001684
86,14517.2,1.22688,0.91137,1.35927,0.79519,0.72624,0.79743,0.47633,1.39505,1.01829,1.46511,0.001585,0.001585,0.001585
87,14685.9,1.22958,0.9069,1.35999,0.7941,0.7253,0.79799,0.47563,1.39527,1.01759,1.46521,0.001486,0.001486,0.001486
88,14854.7,1.22198,0.89997,1.35427,0.79367,0.72674,0.79733,0.47539,1.39547,1.01661,1.46528,0.001387,0.001387,0.001387
89,15023.2,1.20882,0.88259,1.34346,0.79346,0.72439,0.79722,0.47517,1.39602,1.01533,1.46557,0.001288,0.001288,0.001288
90,15192.1,1.20999,0.88473,1.34474,0.79452,0.72626,0.79772,0.47608,1.39655,1.01432,1.4658,0.001189,0.001189,0.001189
91,15360.5,1.22317,0.81882,1.36098,0.79481,0.72603,0.79749,0.47593,1.39671,1.01346,1.46583,0.00109,0.00109,0.00109
92,15528.2,1.20063,0.78773,1.34232,0.79649,0.72531,0.79788,0.47603,1.39696,1.01165,1.46604,0.000991,0.000991,0.000991
93,15696.1,1.18691,0.76313,1.3322,0.79589,0.72774,0.79771,0.47599,1.39713,1.00963,1.46618,0.000892,0.000892,0.000892
94,15862.8,1.18087,0.76202,1.3306,0.78713,0.73401,0.79744,0.47583,1.39725,1.00816,1.46663,0.000793,0.000793,0.000793
95,16030.4,1.16961,0.74441,1.32186,0.7874,0.73261,0.7969,0.47626,1.3973,1.00693,1.46678,0.000694,0.000694,0.000694
96,16198.2,1.16436,0.73952,1.3176,0.78399,0.73758,0.79721,0.47608,1.39675,1.00688,1.46712,0.000595,0.000595,0.000595
97,16366,1.15229,0.72715,1.30674,0.79622,0.72647,0.797,0.4765,1.39756,1.0047,1.46818,0.000496,0.000496,0.000496
98,16533.7,1.1547,0.72991,1.3084,0.7963,0.72647,0.79676,0.47638,1.39642,1.00401,1.46726,0.000397,0.000397,0.000397
99,16701.2,1.14325,0.71918,1.30138,0.79216,0.7298,0.79615,0.47656,1.39682,1.00279,1.46813,0.000298,0.000298,0.000298
100,16868.9,1.13463,0.71306,1.29755,0.79286,0.72985,0.79618,0.47679,1.39713,1.00151,1.46872,0.000199,0.000199,0.000199
