epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,2639.44,1.33043,1.06106,1.28614,0.78475,0.70826,0.78011,0.46349,1.35937,1.00945,1.28239,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2701.49,1.32225,1.04786,1.28153,0.7698,0.71242,0.77798,0.4623,1.37212,1.01112,1.28593,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2763.62,1.32923,1.03933,1.28189,0.76776,0.71168,0.77969,0.46226,1.36729,0.97714,1.28943,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2825.7,1.31785,1.03247,1.27923,0.77828,0.70587,0.78008,0.46372,1.36032,0.97326,1.28339,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2887.83,1.31394,1.02495,1.27484,0.78118,0.71104,0.78139,0.4634,1.37696,0.97954,1.29132,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2949.91,1.31899,1.02818,1.27383,0.77696,0.72372,0.7839,0.46503,1.36907,0.97614,1.29502,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3012.03,1.30318,1.01015,1.26345,0.78562,0.71291,0.78442,0.46929,1.3599,0.96065,1.28592,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3074.08,1.30688,1.00892,1.26233,0.78086,0.71432,0.78292,0.46619,1.35756,0.95188,1.28291,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3136.31,1.2967,0.99532,1.25439,0.76752,0.72489,0.7857,0.46713,1.34378,0.94643,1.27584,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3198.39,1.29524,1.0018,1.25811,0.7795,0.72038,0.78583,0.46841,1.34499,0.93707,1.27237,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3260.46,1.28964,0.99074,1.25103,0.77794,0.71466,0.78546,0.46725,1.34727,0.93454,1.27477,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3322.59,1.28836,0.98166,1.25061,0.78208,0.71306,0.78565,0.46724,1.34967,0.94026,1.27259,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3384.69,1.2832,0.97234,1.25067,0.78758,0.70714,0.7854,0.46896,1.34192,0.93884,1.26843,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3446.83,1.2795,0.96551,1.24441,0.78931,0.70893,0.78461,0.47008,1.34184,0.94244,1.26914,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3508.95,1.27149,0.95723,1.24038,0.79074,0.71245,0.78505,0.47048,1.34014,0.9454,1.26842,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
